week;channel;campaign;categoria;cost;impressions;clicks;revenue;cpc;cpm;ctr;roas
2024-01-01;Google Ads;aromas;aromas;3012,42;93347;1610;16996,48;1,87;32,27;1,72;5,64
2024-01-01;Google Ads;bano;bano;3131,59;84198;1507;9114,77;2,08;37,19;1,79;2,91
2024-01-01;Google Ads;cocina;cocina;1332,76;38100;672;7239,3;1,98;34,98;1,76;5,43
2024-01-01;Google Ads;deco;deco;3411,44;102371;1633;19177,52;2,09;33,32;1,6;5,62
2024-01-01;Google Ads;jardin;jardin;3884,77;99843;1743;15210,14;2,23;38,91;1,75;3,92
2024-01-01;Google Ads;mesa;mesa;2533,78;63862;1523;13833,09;1,66;39,68;2,38;5,46
2024-01-01;Google Ads;sillones;sillones;1819,02;41955;884;9666,9;2,06;43,36;2,11;5,31
2024-01-08;Google Ads;aromas;aromas;2977,32;67977;1265;14724,12;2,35;43,8;1,86;4,95
2024-01-08;Google Ads;bano;bano;4474,45;137728;2415;13551,3;1,85;32,49;1,75;3,03
2024-01-08;Google Ads;cocina;cocina;3209,28;68518;952;15978,27;3,37;46,84;1,39;4,98
2024-01-08;Google Ads;deco;deco;3564,79;89562;1368;22302,25;2,61;39,8;1,53;6,26
2024-01-08;Google Ads;jardin;jardin;3019,17;70558;1627;14453,04;1,86;42,79;2,31;4,79
2024-01-08;Google Ads;mesa;mesa;2111,62;61363;1041;14156,53;2,03;34,41;1,7;6,7
2024-01-08;Google Ads;sillones;sillones;2133,37;47317;901;14923,04;2,37;45,09;1,9;7,0
2024-01-15;Google Ads;aromas;aromas;3571,77;102265;2297;9506,42;1,55;34,93;2,25;2,66
2024-01-15;Google Ads;bano;bano;3657,53;101946;2215;15498,24;1,65;35,88;2,17;4,24
2024-01-15;Google Ads;cocina;cocina;1822,55;50603;954;6471,94;1,91;36,02;1,89;3,55
2024-01-15;Google Ads;deco;deco;4436,7;110627;1376;21120,07;3,22;40,11;1,24;4,76
2024-01-15;Google Ads;jardin;jardin;4084,83;98706;1807;18611,2;2,26;41,38;1,83;4,56
2024-01-15;Google Ads;mesa;mesa;3360,78;67756;1194;23059,7;2,81;49,6;1,76;6,86
2024-01-15;Google Ads;sillones;sillones;3344,46;100082;2224;21294,32;1,5;33,42;2,22;6,37
2024-01-22;Google Ads;aromas;aromas;3308,5;79206;1188;20856,33;2,78;41,77;1,5;6,3
2024-01-22;Google Ads;bano;bano;4079,51;98771;2007;26783,66;2,03;41,3;2,03;6,57
2024-01-22;Google Ads;cocina;cocina;4239,07;135497;2840;18876,02;1,49;31,29;2,1;4,45
2024-01-22;Google Ads;deco;deco;2168,11;50403;692;10602,61;3,13;43,02;1,37;4,89
2024-01-22;Google Ads;jardin;jardin;1760,95;33643;755;9313,11;2,33;52,34;2,24;5,29
2024-01-22;Google Ads;mesa;mesa;1672,29;40897;615;6102,13;2,72;40,89;1,5;3,65
2024-01-22;Google Ads;sillones;sillones;4173,99;114728;1594;18731,97;2,62;36,38;1,39;4,49
2024-01-29;Google Ads;aromas;aromas;1779,61;35325;652;12228,97;2,73;50,38;1,85;6,87
2024-01-29;Google Ads;bano;bano;4427,22;120487;1842;22342,75;2,4;36,74;1,53;5,05
2024-01-29;Google Ads;cocina;cocina;2794,59;59583;1123;14215,09;2,49;46,9;1,88;5,09
2024-01-29;Google Ads;deco;deco;1361,85;36074;647;8945,56;2,1;37,75;1,79;6,57
2024-01-29;Google Ads;jardin;jardin;3203,31;73459;1442;16958,38;2,22;43,61;1,96;5,29
2024-01-29;Google Ads;mesa;mesa;3375,3;100370;1961;22159,91;1,72;33,63;1,95;6,57
2024-01-29;Google Ads;sillones;sillones;2654,72;69325;1441;7713,54;1,84;38,29;2,08;2,91
2024-02-05;Google Ads;aromas;aromas;2197,23;52109;712;14849,25;3,09;42,17;1,37;6,76
2024-02-05;Google Ads;bano;bano;2317,76;45456;1070;7262,49;2,17;50,99;2,35;3,13
2024-02-05;Google Ads;cocina;cocina;3940,56;85106;1863;18395,77;2,12;46,3;2,19;4,67
2024-02-05;Google Ads;deco;deco;3589,92;113869;2688;21972,59;1,34;31,53;2,36;6,12
2024-02-05;Google Ads;jardin;jardin;1245,93;31786;554;6887,17;2,25;39,2;1,74;5,53
2024-02-05;Google Ads;mesa;mesa;3913,98;121975;1622;13903,22;2,41;32,09;1,33;3,55
2024-02-05;Google Ads;sillones;sillones;3052,64;94062;1378;8500,02;2,22;32,45;1,46;2,78
2024-02-12;Google Ads;aromas;aromas;1615,55;41849;536;9601,54;3,01;38,6;1,28;5,94
2024-02-12;Google Ads;bano;bano;4321,71;103149;2156;13809,4;2,0;41,9;2,09;3,2
2024-02-12;Google Ads;cocina;cocina;1520,73;46263;630;6906,25;2,41;32,87;1,36;4,54
2024-02-12;Google Ads;deco;deco;2814,85;66750;1563;7451,52;1,8;42,17;2,34;2,65
2024-02-12;Google Ads;jardin;jardin;4336,83;130002;1715;24223,64;2,53;33,36;1,32;5,59
2024-02-12;Google Ads;mesa;mesa;2383,62;56191;802;7269,38;2,97;42,42;1,43;3,05
2024-02-12;Google Ads;sillones;sillones;3387,14;91398;1751;8793,37;1,93;37,06;1,92;2,6
2024-02-19;Google Ads;aromas;aromas;3464,12;86131;1973;9805,92;1,76;40,22;2,29;2,83
2024-02-19;Google Ads;bano;bano;1677,47;33247;498;5510,89;3,37;50,45;1,5;3,29
2024-02-19;Google Ads;cocina;cocina;4069,99;91981;1266;26668,19;3,21;44,25;1,38;6,55
2024-02-19;Google Ads;deco;deco;1249,04;36296;539;4942,41;2,32;34,41;1,49;3,96
