week_start,producto,categoria,unidades_vendidas,ingreso_total
2025-01-06,Set de Bowls Mediterráneo,cocina,10,40244.06
2025-01-06,Tabla de Madera Olivia,cocina,17,99652.26
2025-01-06,Porta Utensilios Cobre,cocina,20,59752.99
2025-01-06,Delantal Lino Natural,cocina,6,17234.91
2025-01-06,Jabonera Mármol Blanco,baño,5,12938.46
2025-01-06,Set Toallas Waffle,baño,15,97158.36
2025-01-06,Porta Cepillo Cerámica,baño,8,14364.85
2025-01-06,Espejo Redondo Nordico,baño,21,261547.78
2025-01-06,Marco Madera Natural 30x40,deco,7,29597.9
2025-01-06,Jarrón Minimalista Blanco,deco,16,99436.49
2025-01-06,Caja Ratan Organizadora,deco,21,111719.87
2025-01-06,Estante Flotante Roble,deco,21,194627.19
2025-01-06,Sillón Boho Arena,sillones,24,1222115.33
2025-01-06,Sillón Terciopelo Verde,sillones,26,1457693.95
2025-01-06,Puff Redondo Boucle,sillones,18,404471.23
2025-01-06,Sillón Acapulco Negro,sillones,6,194376.0
2025-01-06,Difusor Bambú 200ml,aromas,10,36376.64
2025-01-06,Vela Soja Lavanda Grande,aromas,14,35999.89
2025-01-06,Set Sales de Baño Botánico,aromas,23,99256.41
2025-01-06,Incienso Palo Santo 10u,aromas,22,34606.7
2025-01-06,Mantel Lino 180cm,mesa,11,58234.88
2025-01-06,Set Servilletas Bordadas,mesa,22,50693.0
2025-01-06,Porta Velas Mesa Hierro,mesa,25,99191.08
2025-01-06,Camino Mesa Ratan,mesa,9,36875.22
2025-01-06,Maceta Terracota XL,jardin,11,72399.22
2025-01-06,Farolito Solar Colgante,jardin,7,29475.94
2025-01-06,Cojín Exterior Rayas,jardin,26,145466.55
2025-01-06,Regadera Cobre Vintage,jardin,17,135456.05
2025-01-13,Set de Bowls Mediterráneo,cocina,9,36007.98
2025-01-13,Tabla de Madera Olivia,cocina,10,55553.79
2025-01-13,Porta Utensilios Cobre,cocina,16,46626.43
2025-01-13,Delantal Lino Natural,cocina,19,60256.11
2025-01-13,Jabonera Mármol Blanco,baño,26,78575.08
2025-01-13,Set Toallas Waffle,baño,12,75974.5
2025-01-13,Porta Cepillo Cerámica,baño,5,8787.88
2025-01-13,Espejo Redondo Nordico,baño,12,139871.23
2025-01-13,Marco Madera Natural 30x40,deco,7,29589.84
2025-01-13,Jarrón Minimalista Blanco,deco,22,143095.6
2025-01-13,Caja Ratan Organizadora,deco,11,54136.95
2025-01-13,Estante Flotante Roble,deco,18,162806.77
2025-01-13,Sillón Boho Arena,sillones,23,1166636.54
2025-01-13,Sillón Terciopelo Verde,sillones,8,393902.08
2025-01-13,Puff Redondo Boucle,sillones,21,479592.96
2025-01-13,Sillón Acapulco Negro,sillones,18,642932.64
2025-01-13,Difusor Bambú 200ml,aromas,19,73997.49
2025-01-13,Vela Soja Lavanda Grande,aromas,11,27570.86
2025-01-13,Set Sales de Baño Botánico,aromas,14,56716.71
2025-01-13,Incienso Palo Santo 10u,aromas,7,9846.31
2025-01-13,Mantel Lino 180cm,mesa,18,100919.81
